pathway	Juan01	Juan02	Juan03	Juan04	Juan05	Juan06	Juan07	Juan08	Juan09	Juan10	Juan11	Juan12	Juan13	Juan14	Juan15	Juan16	Juan17	Juan18	Juan19	Juan20	Juan21	Juan22	Juan23	Juan24	Juan25	Juan26	Juan27	Juan28	Juan29	Juan30	Juan31	Juan32	Juan33	Juan34	Juan35	Juan36	Juan37	Juan38	Juan39	Juan40	Juan41	Juan42	Juan43	Juan44	Juan45	Juan46	Juan47	Juan48	Juan49	Juan50	Juan51	Juan52	Juan53	Juan54	Juan55	Juan56	Juan57	Juan58	Juan59	Juan60	Juan61	Juan62	Juan63	Juan64	Juan65	Juan66
1CMET2-PWY	36940.4162	46014.6357	48902.8809	43410.2623	49475.5047	55340.8476	59393.0854	35462.2468	58373.4012	52964.452	61373.5766	43176.299	35440.3778	54030.2718	67008.7916	16312.3343	26272.3601	26784.8949	38143.6416	29318.6187	28206.2437	47256.3503	36633.8831	33650.2386	49714.6124	43768.2344	42177.4645	14223.1389	25143.9627	29632.9122	43014.3716	19630.4567	36192.6942	45645.4839	46507.1236	43796.539	59479.1362	37158.1935	62602.0285	36990.6724	37747.5052	44737.7131	45705.5653	22427.3236	44413.3027	15867.3555	19527.4188	22575.9937	65250.0174	43788.7979	45226.6997	53767.2868	52501.5481	52458.0672	37886.1968	25086.0054	39793.5513	34796.81	46986.0228	39630.8982	110606.4613	80158.523	88338.0043	86258.0773	76050.2054	66657.1067
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	640.0606	1222.0509	986.9583	3148.671	4311.2595	2915.568	4846.9171	3840.6616	3279.273	1633.5251	2499.8245	1000.4774	722.6543	1119.8676	1901.4635	913.9846	1431.4936	1293.7784	677.0186	683.7904	439.6123	1172.9314	993.5092	728.0728	996.1823	914.8997	1015.8493	316.4151	506.7127	761.1407	713.0585	804.9668	769.9546	3796.908	4073.304	2768.4221	4911.2742	1850.1794	4548.0111	851.8589	1315.6174	1008.7506	1534.5088	418.334	1305.5364	785.4244	920.0507	1149.9124	1233.7205	864.3692	1073.7758	1069.5368	1096.1083	1173.98	813.9961	540.7173	836.5272	684.1388	1189.6253	771.2789	21258.4778	15927.6208	16536.3128	16946.6147	13120.8661	13315.8948
AEROBACTINSYN-PWY	63.6324	47.8205	83.3525	55.9571	118.1706	83.9032	72.3846	49.3269	33.78	79.3576	47.8169	58.3122	20.7657	62.6327	39.2948	0.0	0.0	0.0	54.1013	42.2569	42.1928	74.9016	46.2359	55.1214	123.9911	75.0316	80.0992	9.836	29.0958	43.5032	45.6524	37.9505	94.1493	144.6002	116.4917	72.1226	141.0476	53.4879	135.6603	43.222	15.033	64.1266	44.9588	45.0857	82.458	0.0	0.0	0.0	112.181	48.9534	80.1287	60.6326	97.0155	77.6259	73.3319	44.0457	29.1669	30.3071	78.3857	46.272	448.1682	259.1617	325.591	112.0239	84.3634	41.9613
ALL-CHORISMATE-PWY	4924.4977	7160.7926	7423.0979	14593.7109	14282.7679	18137.1349	18773.6144	12139.3468	17133.0215	13685.7514	14304.4293	8182.8419	6245.9376	12287.3584	17488.5811	584.8115	1553.0565	728.9294	11968.232	8768.94	7745.4943	14173.76	10510.7881	9564.1055	15872.5831	13817.6271	12711.1111	4012.3035	7121.5683	9440.6137	6893.1955	2724.5173	5679.7245	12664.9462	15154.7995	15931.1228	20327.9207	11206.5406	17691.1061	9180.0769	10078.7775	9157.9135	11289.6318	4569.3279	9279.5228	552.0488	322.0764	7087.3457	20855.1477	13542.7723	13799.079	16071.5143	15587.2104	16003.1078	11646.1463	7328.9948	10964.9234	11368.6618	15457.3192	12059.4464	57355.3362	42760.3672	44779.6396	44601.9002	39436.3264	33227.9118
ANAEROFRUCAT-PWY	36422.7484	46822.7712	48839.499	43984.7415	51371.3953	53671.4249	60336.933	33699.8084	56235.2184	50326.8778	58686.2308	41517.5154	35098.2022	52663.2256	64818.2108	22089.188	36928.252	37490.0675	45483.7723	34939.2275	33683.9515	53923.5046	42190.3793	39223.4037	55336.105	49622.0184	47279.6687	17032.5179	30461.6871	35919.346	42834.4302	19664.1839	35006.2523	46255.8778	46729.5978	42954.8539	57908.4968	35578.8508	61228.5793	34032.8693	36923.4845	43294.8497	44945.169	21795.3539	43685.7039	22304.43	26681.5441	27171.4683	76718.1795	52748.27	53615.0743	60819.1999	60062.7376	61512.0538	43519.0489	28477.7456	45449.3367	41986.103	55345.4699	48579.3085	108311.7538	79088.3721	86831.2845	96143.2686	87919.7706	75772.5379
ANAGLYCOLYSIS-PWY	47288.106	60184.699	62814.1531	51370.2884	59257.0058	65041.9263	70342.7682	41878.3988	70551.2106	66426.546	76851.1116	54114.1444	42187.7675	64766.3571	80157.057	30316.8941	50244.0224	50070.6073	61623.4605	47238.1178	44990.0322	72490.9119	56373.8979	52743.2851	76847.332	70095.1993	65875.4331	22738.1154	41269.1764	49565.7303	57071.6588	26580.6128	46609.3654	54660.1859	56679.2537	54366.0192	72040.4862	45904.4974	78018.9044	46773.7471	48235.0375	56970.7545	57237.6535	27133.8412	53841.2597	30695.3241	36777.9038	36753.0159	105498.0606	73154.2736	73515.8593	84178.1444	83184.555	85009.3493	60380.2749	40443.8471	63131.4295	58301.834	74414.351	67006.5702	145990.5458	106961.5035	117052.753	114888.669	102717.7364	90062.2671
ARG+POLYAMINE-SYN	21495.8432	27243.3319	27742.0462	24427.8941	27805.3536	32181.1248	30933.2477	21342.8576	34203.2177	30812.8879	34374.3127	23455.2831	18286.2001	29628.0599	37091.9114	9135.6195	13100.0312	13021.8386	22758.3331	17590.7099	17524.2895	27092.8098	20788.6702	19500.3421	27822.6681	25307.0449	23325.1975	8290.7783	15146.7004	18222.5043	25443.1496	11556.3859	20810.8011	25559.2686	27422.0813	25141.824	33736.6913	20793.642	34806.0865	22153.5753	21386.6924	25453.9989	26036.522	12307.2218	24490.1228	7894.651	9977.0844	12086.4443	40206.282	26650.584	26781.1393	30777.5563	30261.1609	30491.3081	22106.3338	14472.0724	23103.2743	20992.3709	27633.6735	24311.7993	76411.587	55526.3294	60436.8435	54992.8919	48345.2209	45439.3058
ARGDEG-PWY	0.56	0.0	0.0	288.9641	0.933	0.0	456.3327	263.8616	32.2206	19.5756	0.0	0.56	0.0	17.2464	0.0	1.6791	3.9173	6.1541	2.7566	0.0	3.1407	4.6067	0.9301	0.0	0.0	2.3181	0.0	0.0	3.0997	0.0	0.0	0.0	0.8399	104.7678	58.8014	75.2727	1104.3759	33.4914	35.1251	0.0	0.0	0.0	32.5638	0.0	1.8476	0.0	5.3144	60.3002	5.0675	6.7126	4.1284	0.0	0.0	0.0	0.9308	0.0	6.4287	0.0	2.7338	2.6979	0.0	0.0	0.0	35.583	446.2664	0.0
ARGORNPROST-PWY	4274.1318	6307.7114	6339.4309	6143.3236	7412.253	6466.4181	8779.1465	4570.8133	7205.8412	7097.9606	7584.9675	5501.5884	4167.2467	6010.7238	7382.8252	4694.1614	7813.7506	8209.8791	8144.8823	5857.7378	6017.8974	9099.7369	7519.4663	6715.2762	9530.4509	8145.7087	8581.7777	3336.7785	5854.866	6821.8613	5849.9981	2370.2906	4489.3764	6783.3254	7305.1829	6663.668	9420.8675	5188.4187	8456.4632	4636.9138	4770.7309	5802.6082	6325.3811	2531.6103	5007.4374	4574.5863	5377.0314	5478.9008	13272.1332	9557.3993	10340.8879	11012.3548	10340.9894	10874.2211	7793.5371	5265.0922	8183.5393	7813.9737	9668.5192	8501.0039	10913.4717	7776.6808	8716.8928	17506.7961	15899.1522	13240.4004
ARGSYN-PWY	40671.7555	51401.2397	53390.8153	41501.0024	48658.7397	54947.1858	56091.2199	35486.2533	59549.3869	56572.2352	66064.8804	46901.4888	36239.3494	56014.3162	69031.7228	25793.2428	43003.948	42499.9688	57355.0329	43891.9015	41950.0765	67032.6164	52369.7942	48719.1327	70983.7845	65135.5502	60780.9458	21217.5665	38387.6534	46065.1648	48944.8936	23029.6984	40222.215	44321.4301	46650.6409	45119.4985	60016.48	39271.8235	66034.8382	40187.9499	41849.2366	49541.3947	48160.6423	23357.817	46609.019	25912.094	31225.7741	31301.343	98155.6305	67789.8113	68037.3792	78388.3373	77537.7049	78754.1849	55938.1222	37596.562	58419.8361	54263.071	69361.5051	62702.0961	120922.0279	89107.0154	97443.3518	95064.3589	85150.7827	75154.4267
